wl,n1,n2
1.7210 ,0.1702081,12.68996797
1.7220 ,0.170438481,12.69718553
1.7230 ,0.170669744,12.70439611
1.7240 ,0.17090189,12.71159971
1.7250 ,0.171134919,12.7187963
1.7260 ,0.171368831,12.72598588
1.7270 ,0.171603626,12.73316845
1.7280 ,0.171839304,12.74034398
1.7290 ,0.172075866,12.74751248
1.7300 ,0.17231331,12.75467393
1.7310 ,0.172551639,12.76182832
1.7320 ,0.172790851,12.76897564
1.7330 ,0.173030946,12.7761159
1.7340 ,0.173271925,12.78324907
1.7350 ,0.173513788,12.79037514
1.7360 ,0.173756535,12.79749412
1.7370 ,0.174000165,12.80460599
1.7380 ,0.174244679,12.81171074
1.7390 ,0.174490077,12.81880837
1.7400 ,0.174736359,12.82589886
1.7410 ,0.174983524,12.83298221
1.7420 ,0.175231573,12.84005842
1.7430 ,0.175480505,12.84712746
1.7440 ,0.175730321,12.85418934
1.7450 ,0.175981021,12.86124406
1.7460 ,0.176232603,12.86829159
1.7470 ,0.176485069,12.87533193
1.7480 ,0.176738418,12.88236508
1.7490 ,0.17699265,12.88939103
1.7500 ,0.177247765,12.89640977
1.7510 ,0.177503763,12.9034213
1.7520 ,0.177760643,12.9104256
1.7530 ,0.178018406,12.91742268
1.7540 ,0.17827705,12.92441252
1.7550 ,0.178536577,12.93139512
1.7560 ,0.178796986,12.93837047
1.7570 ,0.179058276,12.94533857
1.7580 ,0.179320448,12.9522994
1.7590 ,0.179583501,12.95925297
1.7600 ,0.179847435,12.96619927
1.7610 ,0.18011225,12.97313828
1.7620 ,0.180377945,12.98007002
1.7630 ,0.18064452,12.98699446
1.7640 ,0.180911976,12.99391161
1.7650 ,0.18118031,13.00082145
1.7660 ,0.181449525,13.00772399
1.7670 ,0.181719618,13.01461921
1.7680 ,0.18199059,13.02150712
1.7690 ,0.182262441,13.02838771
1.7700 ,0.182535169,13.03526096
1.7710 ,0.182808775,13.04212688
1.7720 ,0.183083259,13.04898547
1.7730 ,0.18335862,13.05583671
1.7740 ,0.183634857,13.06268061
1.7750 ,0.183911971,13.06951715
1.7760 ,0.184189961,13.07634633
1.7770 ,0.184468826,13.08316815
1.7780 ,0.184748566,13.08998261
1.7790 ,0.185029181,13.0967897
1.7800 ,0.185310671,13.10358941
1.7810 ,0.185593034,13.11038174
1.7820 ,0.185876271,13.1171667
1.7830 ,0.18616038,13.12394426
1.7840 ,0.186445363,13.13071443
1.7850 ,0.186731217,13.13747721
1.7860 ,0.187017943,13.14423259
1.7870 ,0.18730554,13.15098057
1.7880 ,0.187594008,13.15772114
1.7890 ,0.187883346,13.16445431
1.7900 ,0.188173554,13.17118006
1.7910 ,0.188464631,13.17789839
1.7920 ,0.188756576,13.18460931
1.7930 ,0.18904939,13.1913128
1.7940 ,0.189343071,13.19800887
1.7950 ,0.18963762,13.20469751
1.7960 ,0.189933035,13.21137871
1.7970 ,0.190229316,13.21805249
1.7980 ,0.190526463,13.22471882
1.7990 ,0.190824474,13.23137772
1.8000 ,0.19112335,13.23802917
1.8010 ,0.191423089,13.24467317
1.8020 ,0.191723692,13.25130973
1.8030 ,0.192025157,13.25793884
1.8040 ,0.192327484,13.2645605
1.8050 ,0.192630673,13.2711747
1.8060 ,0.192934722,13.27778144
1.8070 ,0.193239632,13.28438072
1.8080 ,0.193545401,13.29097254
1.8090 ,0.193852029,13.2975569
1.8100 ,0.194159515,13.30413379
1.8110 ,0.194467858,13.31070321
1.8120 ,0.194777059,13.31726517
1.8130 ,0.195087116,13.32381965
1.8140 ,0.195398029,13.33036666
1.8150 ,0.195709796,13.33690619
1.8160 ,0.196022418,13.34343825
1.8170 ,0.196335893,13.34996283
1.8180 ,0.196650222,13.35647993
1.8190 ,0.196965402,13.36298956
1.8200 ,0.197281434,13.36949169
1.8210 ,0.197598317,13.37598635
1.8220 ,0.19791605,13.38247352
1.8230 ,0.198234633,13.38895321
1.8240 ,0.198554064,13.39542541
1.8250 ,0.198874343,13.40189012
1.8260 ,0.199195469,13.40834734
1.8270 ,0.199517442,13.41479707
1.8280 ,0.19984026,13.42123932
1.8290 ,0.200163923,13.42767407
