wl,n1,n2
0.4000, 4.37300000000000, 2.14600000000000
0.4010, 4.39101349895965, 2.11969115859164
0.4020, 4.40642286420395, 2.09380888679354
0.4030, 4.41878551966601, 2.07108278178864
0.4040, 4.42859299559783, 2.05093628642315
0.4050, 4.43727092857036, 2.03252742441645
0.4060, 4.44610959931025, 2.01515667393640
0.4070, 4.45509876645254, 1.99907367084677
0.4080, 4.46364684968228, 1.98552202658673
0.4090, 4.47149000613294, 1.97411695502069
0.4100, 4.47910175300961, 1.96475004209004
0.4110, 4.48705102374392, 1.95765742504142
0.4120, 4.49580662302145, 1.95185993859973
0.4130, 4.50573722678169, 1.94838514857335
0.4140, 4.51723957613064, 1.94797936923617
0.4150, 4.53104508922389, 1.94929611525022
0.4160, 4.54808262571849, 1.95171758621932
0.4170, 4.56933767585003, 1.95619032199439
0.4180, 4.59608822947928, 1.96254684228841
0.4190, 4.62971023363005, 1.96730003212734
0.4200, 4.67093963011432, 1.96754307713480
0.4210, 4.71861045188970, 1.96393273185730
0.4220, 4.77120166152679, 1.95737413406907
0.4230, 4.82692632141200, 1.93848293041587
0.4240, 4.88354677466308, 1.90749678651583
0.4250, 4.93877163855013, 1.86773345893483
0.4260, 4.98991818372741, 1.81377590607926
0.4270, 5.03379530775344, 1.75193467790081
0.4280, 5.06728646753246, 1.68995801116236
0.4290, 5.08977141980290, 1.62522596913005
0.4300, 5.10312622113743, 1.56029306564881
0.4310, 5.10931407110274, 1.49833689362001
0.4320, 5.10980615829405, 1.43777581092157
0.4330, 5.10558166033509, 1.38008067407063
0.4340, 5.09759364821887, 1.32707208867239
0.4350, 5.08668675140313, 1.27777199351441
0.4360, 5.07359715781030, 1.23188739578219
0.4370, 5.05904931253547, 1.18937525515666
0.4380, 5.04349444802922, 1.14969796519452
0.4390, 5.02702888385346, 1.11256945865416
0.4400, 5.00972663921040, 1.07777785277271
0.4410, 4.99177152696571, 1.04481307158883
0.4420, 4.97353346786561, 1.01391483785487
0.4430, 4.95539955293976, 0.985536122806694
0.4440, 4.93757516573429, 0.959396320851898
0.4450, 4.91986027640043, 0.934989971270604
0.4460, 4.90200000000000, 0.912000000000001
0.4470, 4.88386453659633, 0.890138604642963
0.4480, 4.86582442625863, 0.869374265232240
0.4490, 4.84837529405759, 0.849774331349858
0.4500, 4.83192567404286, 0.831336743380335
0.4510, 4.81624044318680, 0.813850551624566
0.4520, 4.80079598945463, 0.797130171554193
0.4530, 4.78508804767056, 0.780984313323355
0.4540, 4.76908862875179, 0.765328354092564
0.4550, 4.75324601970849, 0.750350610887319
0.4560, 4.73802819674639, 0.736258001373409
0.4570, 4.72368722241239, 0.722984617109858
0.4580, 4.70999342736355, 0.710375566789695
0.4590, 4.69665196077505, 0.698344467450725
0.4600, 4.68339424990733, 0.686806752100779
