wl,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44
0.555,0.057948718,3.641794872,0.401282051,2.538692308,3.188205128,3.323846154,4.039666667,0.291,2.0362,0,1.9959,0.0121,2.5479,0.6213,3.7747,3.4513,3.225,0.3892,2.9959,0.5278,3.991659371,0.077263755,4.7349,0.522814324,2.5808,3.4744,3.645862015,0.390962839,1.912107203,0.000811662,2.055734766,0,2.995328746,0.205530819,2.190124753,0.011980775,2.091941076,0.035752833,4.656171582,0.310532825,3.800245071,0.130682688,1.902352708,0.006745161
0.56,0.056414835,3.683516484,0.379807692,2.601274725,3.194340659,3.319244505,4.023714286,0.282026786,2.035,0,1.9928,0.012,2.5251,0.6103,3.7663,3.4181,3.1957,0.3814,2.9911,0.5215,3.97550494,0.073690302,4.7169,0.495819161,2.5961,3.4859,3.635828716,0.384619083,1.909788612,0.000791471,2.05402589,0,2.978947859,0.207708242,2.182155058,0.010516173,2.087441901,0.03488107,4.634783719,0.288757118,3.782332867,0.11809113,1.898331869,0.006576103
0.565,0.054908101,3.72449966,0.35871341,2.662749489,3.200367597,3.314724302,4.008353982,0.272902655,2.0338,0,1.9897,0.012,2.5029,0.5995,3.7572,3.4102,3.1742,0.3767,2.9867,0.5152,3.960303454,0.071047203,4.6972,0.469287361,2.6114,3.4973,3.626430784,0.378092298,1.907617382,0.000771915,2.052430403,0,2.951746722,0.211322987,2.173121649,0.009806829,2.082923874,0.034031523,4.61354344,0.268056319,3.764682365,0.106300843,1.894305113,0.006411546
0.57,0.0534278,3.764763833,0.337989204,2.723145749,3.206288799,3.310283401,3.993921053,0.263552632,2.0324,0,1.9867,0.0119,2.4818,0.5889,3.7421,3.4136,3.1559,0.3734,2.9823,0.509,3.94499213,0.068899713,4.6789,0.445149276,2.6266,3.5088,3.617597928,0.370894354,1.905460479,0.000752639,2.050851527,0,2.937468491,0.21889252,2.164009965,0.009520449,2.078386275,0.033202742,4.592470703,0.248392577,3.747304413,0.095281669,1.890270872,0.006251161
0.575,0.051973244,3.804327759,0.317625418,2.782491639,3.212107023,3.305919732,3.97973913,0.255695652,2.0309,0,1.9837,0.0119,2.4622,0.5787,3.7224,3.4205,3.1413,0.3703,2.9782,0.5029,3.928503878,0.065368469,4.66,0.421445551,2.6417,3.5202,3.609182893,0.363698988,1.903423383,0.000733655,2.049364397,0,2.93522241,0.229290174,2.155806324,0.009324738,2.073827009,0.032393295,4.571574006,0.229722819,3.73020168,0.085001524,1.886227741,0.0060947
0.58,0.050543767,3.843209549,0.297612732,2.840814324,3.217824934,3.3016313,3.965948276,0.25012069,2.0288,0,1.9807,0.0118,2.4444,0.5691,3.7025,3.4295,3.1293,0.3672,2.9744,0.4973,3.911907129,0.061405789,4.6413,0.398089593,2.6568,3.5316,3.601030555,0.357300061,1.901391346,0.000715902,2.04788511,0,2.936698239,0.238675407,2.149204333,0.008908046,2.069243934,0.031601776,4.550861043,0.212004149,3.713376365,0.07542859,1.882174334,0.005941929
0.585,0.050933048,3.885431624,0.282535613,2.901161681,3.215334758,3.3,3.953162393,0.244700855,2.0255,0,1.9778,0.0118,2.4288,0.5603,3.6869,3.4395,3.1188,0.3642,2.9714,0.4924,3.89642126,0.057939467,4.6231,0.375904832,2.6717,3.5429,3.593085828,0.352096901,1.899558005,0.00069953,2.046554847,0,2.937137551,0.24595256,2.144068177,0.00821273,2.064635977,0.03082703,4.530343597,0.19520191,3.696834799,0.066536416,1.878109259,0.005792658
0.59,0.052429379,3.929423729,0.270564972,2.962361582,3.207853107,3.3,3.94059322,0.240211864,2.0222,0,1.9749,0.0118,2.416,0.5524,3.68,3.4493,3.1115,0.3612,2.9691,0.4883,3.883889284,0.055542174,4.6043,0.354925498,2.6866,3.5542,3.585574032,0.347382911,1.897759586,0.000682713,2.045252196,0,2.936497113,0.253474955,2.14011615,0.007351939,2.06000276,0.030068065,4.510036097,0.179286765,3.680585987,0.058302022,1.874031125,0.005646729
0.595,0.05390056,3.972676471,0.258795518,3.022532913,3.200497199,3.3,3.92907563,0.233277311,2.0202,0,1.972,0.0118,2.4062,0.5456,3.68,3.4593,3.1083,0.3579,2.9672,0.4849,3.871714009,0.053608834,4.5863,0.335157308,2.7014,3.5655,3.578705153,0.342406082,1.895932223,0.000665906,2.043932107,0,2.93479288,0.261743437,2.137066543,0.006441995,2.055343821,0.02932388,4.489952117,0.16422948,3.664638522,0.050702607,1.869938594,0.005503963
0.6,0.055347222,4.015208333,0.247222222,3.081701389,3.193263889,3.3,3.917791667,0.229166667,2.02,0,1.9691,0.0118,2.4,0.54,3.68,3.471,3.1063,0.3542,2.9656,0.4819,3.859426099,0.051882212,4.5686,0.316012976,2.7161,3.5767,3.572362947,0.337162089,1.894287924,0.000651287,2.042746789,0,2.929527386,0.269283468,2.134637649,0.00559922,2.050658234,0.028593396,4.470100653,0.150000884,3.648998684,0.043716002,1.865830608,0.005364059
